"","perturbation","prediction_timescale","matching_method","lit_review","GM","ME","is_outlier"
"1","Batf3",10,"closest","No known role",1357.02962914298,0,TRUE
"2","Batf3",10,"user","No known role",873.559708483519,0,TRUE
"3","Cebpa",10,"closest","GM",6.36629477997857e-12,0,TRUE
"4","Cebpa",10,"optimal_transport","GM",0,-179.936962630367,TRUE
"5","Cebpa",10,"steady_state","GM",-1.20395852937109e-11,0,TRUE
"6","Cebpa",10,"user","GM",3095.56056809173,0,TRUE
"7","Cebpe",10,"random","GM",6.21018376389073e-13,0,TRUE
"8","Cebpe",10,"steady_state","GM",873.559708483508,0,TRUE
"9","Cebpe",10,"user","GM",1283.74600102125,0,TRUE
"10","Egr1",10,"closest","No known role",-2.16548613984083e-12,0,TRUE
"11","Egr1",10,"optimal_transport","No known role",0,-179.936962630367,TRUE
"12","Egr1",10,"steady_state","No known role",0,156.83343483431,TRUE
"13","Egr1",10,"user","No known role",0,-922.27391702501,TRUE
"14","Elk3",10,"closest","No known role",1357.02962914297,0,TRUE
"15","Elk3",10,"optimal_transport","No known role",3212.72755012242,-179.936962630367,TRUE
"16","Elk3",10,"random","No known role",6.21018376389073e-13,0,TRUE
"17","Elk3",10,"steady_state","No known role",-973.605158015954,0,TRUE
"18","Elk3",10,"user","No known role",-35159.5403230949,-386.069557008144,TRUE
"19","Ets1",10,"closest","ME",4107.63642017622,0,TRUE
"20","Ets1",10,"optimal_transport","ME",-5166.1471818496,3.05210453486292e-13,TRUE
"21","Ets1",10,"random","ME",6.21018376389073e-13,0,TRUE
"22","Ets1",10,"steady_state","ME",-1.24203675277815e-12,0,TRUE
"23","Ets1",10,"user","ME",-34069.3221334416,-386.069557008144,TRUE
"24","Etv6",10,"closest","GM & ME, stemness",1393.2043360789,-1467.38828440139,TRUE
"25","Etv6",10,"optimal_transport","GM & ME, stemness",382.309302876587,-1566.70440431547,TRUE
"26","Etv6",10,"random","GM & ME, stemness",0,6.84987988239581e-12,TRUE
"27","Etv6",10,"steady_state","GM & ME, stemness",55.5851943547325,-296.302385091726,TRUE
"28","Etv6",10,"user","GM & ME, stemness",-361.74853747392,-1120.70380790613,TRUE
"29","Fos",10,"closest","Not reviewed",1357.02962914298,0,TRUE
"30","Fos",10,"steady_state","Not reviewed",1357.02962914296,0,TRUE
"31","Fos",10,"user","Not reviewed",1334.20827163115,0,TRUE
"32","Gata1",10,"closest","ME",0,2431.22541470872,TRUE
"33","Gata1",10,"optimal_transport","ME",0,-563.569273122655,TRUE
"34","Gata1",10,"steady_state","ME",33648.2037779313,679.009062510504,TRUE
"35","Gata1",10,"user","ME",2207.71329593422,-1314.70642166876,TRUE
"36","Gata2",10,"closest","GM & ME, stemness",1357.02962914297,1584.71066701901,TRUE
"37","Gata2",10,"optimal_transport","GM & ME, stemness",0,-2.37445958694141e-12,TRUE
"38","Gata2",10,"random","GM & ME, stemness",-4.33097227968167e-12,6.84987988239581e-12,TRUE
"39","Gata2",10,"steady_state","GM & ME, stemness",33562.4458920729,-1405.00180248224,TRUE
"40","Gata2",10,"user","GM & ME, stemness",-1338.69390815476,-1664.64259820719,TRUE
"41","Gata3",10,"optimal_transport","Not reviewed",1.32135187312195e-12,0,TRUE
"42","Gfi1",10,"steady_state","GM",1357.02962914296,0,TRUE
"43","Gfi1",10,"user","GM",1298.03356469523,-386.069557008144,TRUE
"44","Gfi1b",10,"closest","ME",0,-66.2417185660916,TRUE
"45","Gfi1b",10,"optimal_transport","ME",0,-255.119591697666,TRUE
"46","Gfi1b",10,"random","ME",0,-616.342463531768,TRUE
"47","Gfi1b",10,"steady_state","ME",1357.02962914297,156.83343483431,TRUE
"48","Gfi1b",10,"user","ME",1797.5270033965,-378.335126723941,TRUE
"49","Hivep2",10,"user","No known role",0,-386.069557008144,TRUE
"50","Hlf",10,"user","No known role",0,-386.069557008144,TRUE
"51","Hoxa7",10,"user","ME",873.559708483519,0,TRUE
"52","Id2",10,"closest","No known role",6912.15758436285,0,TRUE
"53","Id2",10,"optimal_transport","No known role",-2372.34019838152,0,TRUE
"54","Id2",10,"random","No known role",-2900.77109262091,0,TRUE
"55","Id2",10,"steady_state","No known role",-5947.55995678075,0,TRUE
"56","Id2",10,"user","No known role",-4047.84587824788,-378.335126723957,TRUE
